Name,R1.Ratio,R2.Ratio,R3.Ratio,R4.Ratio,R5.Ratio,R6.Ratio,R7.Ratio
YDR025W RPS18A,0.13606155,-0.111031312,-0.189033824,-0.782408565,-0.757023247,-0.855989697,-2.304511042
YDR031w,-0.286881148,-0.084064265,0.184424571,0.13606155,0.535331733,2.321928095,1.251538767
YDR060w,-0.042644337,-0.097610797,-0.014355293,-0.799087306,-0.839959587,-2.247927513,-2.386810946
YDR064W YS15,-0.056583528,-0.124328135,-0.070389328,-0.545968369,-0.555816155,-2.10433666,-2.367371066
YDR070c,0.01449957,0.074000581,0.058893689,0.01449957,0.251538767,2.395928676,1.689659879
YDR144C MKC7,0.13606155,-0.042644337,-0.298658316,-0.871843649,-1.14404637,-2.422233001,-2.722466024
YDR171W HSP42,0.074000581,0.13606155,0.434402824,0.836501268,0.943416472,3.64385619,3.321928095
YDR178W SDH4,-0.189033824,-0.028569152,0.59946207,0.888968688,0.836501268,2.556393349,2.64385619
YDR258C HSP78,-0.250961574,0.13606155,-0.22650853,0.862496476,0.621488377,2.556393349,2.395928676
YBL015W ACH1,-0.111031312,0.058893689,0.01449957,0.104697379,0.304006187,2.736965594,3.321928095
YDR272W GLO2,-0.028569152,-0.097610797,0.358453971,0.434402824,0.377069649,2.556393349,1.251538767
YDR272W,0.074000581,0.304006187,0.49410907,0.473931188,0.377069649,2.321928095,1.473931188
YDR342C HXT7,0.184424571,0.434402824,0.943416472,1.514573173,1.64385619,2.321928095,1.59946207
YDR343C HXT6,0.152003093,0.76121314,1.286304185,1.943416472,1.514573173,2.184424571,2.64385619
YBL027W RPL19A,0.043943348,0.01449957,0.395928676,-0.163498732,-0.275007047,-1.111031312,-2.443606651
YDR382W RPLA4,0.104697379,0.152003093,0.104697379,0.058893689,0.043943348,-0.604071324,-2.364572432
YDR398W,-0.014355293,-0.084064265,-0.124328135,-1.03562391,-1.124328135,-2.021479727,-2.799087306
YDR417C,0.321928095,0.120294234,0.089267338,-0.344828497,-0.250961574,-1.646162657,-2.545968369
YDR418W RPL15A,0.200912694,0.168122759,0.286304185,-0.201633861,-0.201633861,-1.752748591,-2.996388746
YDR516C,-0.137503524,0.268816758,0.415037499,0.785875195,0.713118852,2.321928095,1.029146346
YBL043W,-0.516015147,0.074000581,0,-0.214124805,-0.5360529,1.943416472,2.321928095
YDR529C QCR7,0.168122759,0.029146346,0.377069649,0.862496476,0.810966176,2.184424571,2.556393349
YDR533C,-0.070389328,0.058893689,0.577766999,0.415037499,0.01449957,2.736965594,2.395928676
YBL045C COR1,0.074000581,0,0.689659879,0.514573173,0.152003093,1.689659879,2.473931188
YEL011w GLC3,-0.286881148,0.120294234,0.49410907,0.836501268,0.49410907,2.64385619,2.836501268
YEL012w UBC8,-0.084064265,-0.298658316,0.074000581,0.074000581,-0.35614381,1.321928095,2.321928095
YEL024w RIP1,0.089267338,0.268816758,0.556393349,0.888968688,0.943416472,1.943416472,2.321928095
YBL048W,-0.250961574,0.104697379,-0.150559677,-0.22650853,-0.35614381,2.556393349,2.184424571
YBL049W,-0.584962501,0.168122759,0.184424571,-0.150559677,-0.82374936,2.473931188,2.64385619
YEL054c RPL15A,0.200912694,0.089267338,0.321928095,-0.321928095,-0.475084883,-1.641546029,-2.464668267
YER024w,-0.275007047,-0.150559677,0.168122759,-0.35614381,-0.495695163,1.120294234,3.184424571
YER053c,-0.189033824,0.358453971,1.029146346,1.514573173,1.64385619,2.184424571,2.64385619
YER065c ICL1,0.120294234,0.168122759,0.535331733,0.089267338,-0.150559677,0.535331733,3.64385619
YER067w,-0.070389328,0.152003093,0.76121314,1.029146346,0.377069649,3.184424571,2.556393349
YBL064C,0.377069649,0.043943348,0.736965594,0.888968688,0.76121314,3.473931188,2.836501268
YER131w RPS26B,0.358453971,0.13606155,0.473931188,0.043943348,-0.014355293,-1.367371066,-2.488000771
YER150w,-0.014355293,0.184424571,1.152003093,1.514573173,1.59946207,3.473931188,3.321928095
YAL003W TEF5,0.234465254,0,-0.042644337,-0.641546029,-0.933572638,-1.5360529,-2.333423734
YFL014W HSP12,-0.150559677,0.377069649,0.621488377,1.59946207,2.251538767,3.64385619,3.473931188
YFL054C,-0.678071905,-0.367371066,-0.137503524,-0.275007047,-0.176322773,2.473931188,0.971430848
YBL078C,-0.40053793,-0.163498732,0.13606155,0.234465254,0.321928095,2.321928095,2.120294234
YFR015C GSY1,-0.22650853,0.043943348,0.415037499,1.556393349,1.029146346,2.736965594,2.736965594
YFR033C QCR6,0.058893689,-0.111031312,0.029146346,0.321928095,0.621488377,2.395928676,1.888968688
YFR053C HXK1,0.184424571,0.321928095,0.395928676,1,1.473931188,2.556393349,0.377069649
YGL031C RPL30A,0.029146346,0,0.043943348,-0.137503524,0,-0.669026766,-2.313245852
YGL037C,0.200912694,0.377069649,0.286304185,1.152003093,1.473931188,2.836501268,1.836501268
YGL076C RPL6A,0.074000581,-0.411426246,-0.028569152,-0.790772038,-0.839959587,-1.695993813,-2.788685711
YGL078C,-0.014355293,-0.250961574,0.321928095,-0.831877241,-0.831877241,-1.469885976,-2.459431619
YGL102C,0.029146346,-0.097610797,0.168122759,0,-0.028569152,-1.3950628,-2.550900665
YBL100C,0.13606155,0.217591435,0.415037499,0.577766999,0.888968688,1.286304185,2.395928676
YGL191W COX13,0.043943348,-0.070389328,0.029146346,0.029146346,0.888968688,2.473931188,2.321928095
YBL108W,0.043943348,0.089267338,0.395928676,0.217591435,0.971430848,0.888968688,2.395928676
YGL259W,-0.137503524,-0.070389328,0.473931188,0.64385619,0.377069649,1.689659879,2.836501268
YGR008C STF2,-0.056583528,0.043943348,0.49410907,1.120294234,1.058893689,2.736965594,2.058893689
YGR043C,-0.432959407,-0.731183242,-0.056583528,-0.111031312,-0.163498732,3.473931188,2.64385619
YGR067C,0.043943348,-0.097610797,0.168122759,-0.344828497,-0.378511623,0.59946207,2.395928676
YGR088W CTT1,0.152003093,0.058893689,0.217591435,0.736965594,0.971430848,3.64385619,2.943416472
YGR103W,0.152003093,-0.056583528,0.321928095,-0.90303827,-1.10433666,-1.641546029,-2.56315813
YGR148C RPL30B,0.200912694,0.104697379,0.058893689,-0.286881148,-0.275007047,-1.819668183,-2.615887074
YGR160W,0.321928095,0.104697379,-0.250961574,-1.485426827,-1.480265122,-2.508428653,-3.214124805
YGR214W NAB1A,0.268816758,0.152003093,0.454031631,-0.367371066,-0.286881148,-1.669026766,-2.451540833
YGR236C,-0.124328135,-0.189033824,-0.298658316,-0.495695163,-0.641546029,3.473931188,2.836501268
YGR243W,-0.344828497,-0.275007047,-0.378511623,-0.201633861,-0.411426246,3.184424571,2.473931188
YGR244C,0.043943348,0.268816758,0.76121314,0.943416472,1.473931188,2.395928676,2.058893689
YGR248W,-0.298658316,-0.389566812,0.434402824,0.666576266,1.395928676,4.058893689,2.473931188
YGR264C MES1,0.415037499,0.434402824,0,-0.722466024,-0.815575429,-2.555816155,-2.087462841
YHL015W URP2,0.168122759,0.321928095,0.104697379,-0.084064265,-0.176322773,-1.803227036,-2.855989697
YHL021C,-0.443606651,0.120294234,0.64385619,1,0.785875195,2.943416472,2.473931188
YHL033C RPL4A,0.340075442,0.217591435,0.184424571,-0.176322773,-0.50589093,-1.565597176,-2.513490746
YBR032W,0,0.152003093,0.395928676,0.13606155,-0.056583528,-1.097610797,-2.397802962
YAL012W CYS3,0.104697379,-0.014355293,0.556393349,-0.575312331,-0.731183242,-1.250961574,-2.521050737
YHR051W COX6,0.200912694,0.029146346,0.200912694,0.415037499,0.76121314,2.184424571,2.473931188
YHR087W,-0.411426246,-0.422233001,-0.111031312,0.104697379,0.888968688,2.943416472,0.971430848
YHR089C GAR1,-0.201633861,-0.333423734,-0.137503524,-0.713695815,-0.464668267,-2.169925001,-2.634593268
YHR096C HXT5,-0.124328135,-0.042644337,0.666576266,0.321928095,-0.321928095,1.434402824,3.058893689
YHR104W,0.286304185,0.268816758,0.556393349,0.64385619,0.577766999,2.395928676,1.251538767
YHR128W FUR1,0.234465254,0.074000581,0.234465254,-0.713695815,-0.669026766,-1.871843649,-2.344828497
YBR048W RPS18B,0.120294234,0.200912694,0.074000581,-0.411426246,-0.992768431,-1.516015147,-2.480265122
YBR051W,-0.150559677,0.200912694,0,-0.40053793,-0.941106311,0.321928095,2.64385619
YIL018W RPL5A,0.304006187,0.089267338,0.268816758,-0.214124805,-0.176322773,-1.372952098,-2.339137385
YIL053W GPP1,0.268816758,-0.014355293,-0.22650853,-0.941106311,-1.23878686,-2.327687364,-2.957914599
YIL069C RP50B,-0.056583528,-0.495695163,-0.411426246,-0.641546029,-0.704871964,-1.956056652,-2.44625623
YIL111W COX5B,-0.084064265,0.13606155,0.666576266,1.089267338,1.473931188,2.943416472,1.089267338
YIL113W,-0.333423734,-0.35614381,-0.298658316,0.043943348,-0.084064265,2.395928676,1.286304185
YIL125W KGD1,0.234465254,0.556393349,0.377069649,0.120294234,0.49410907,1.434402824,2.943416472
YIL136W OM45,-0.97819563,-0.263034406,0.217591435,-0.250961574,1.321928095,3.473931188,1.785875195
YIL162W SUC2,0.058893689,0.377069649,0.785875195,0.377069649,0.043943348,2.736965594,1.358453971
YBR072W HSP26,-0.014355293,0.395928676,0.358453971,1,1.434402824,3.473931188,2.836501268
YJL045W,-0.333423734,-0.189033824,0.415037499,-0.084064265,-0.485426827,1,2.321928095
YJL089W SIP4,-0.632268215,-0.344828497,-0.23878686,-0.189033824,-0.250961574,1.120294234,3.058893689
YJL109C,-0.084064265,0.029146346,-0.111031312,-1.176322773,-1.084064265,-3.234194723,-1.989139007
YJL136C RPS25B,0.184424571,-0.084064265,0.340075442,-0.070389328,-0.475084883,-1.464668267,-2.358958826
YJL148W,0.089267338,-0.201633861,0.168122759,-0.757023247,-0.678071905,-1.292781749,-2.414135533
YJL177W RPL20B,0.340075442,0.13606155,0.13606155,-0.422233001,-0.622930351,-1.933572638,-2.389566812
YJL190C RPS24A,0.120294234,-0.189033824,0.340075442,0.089267338,-0.084064265,-1.459431619,-2.324810603
YJR095W ACR1,-0.613531653,-0.464668267,1.089267338,-0.124328135,-0.176322773,1.358453971,3.64385619
YJR096W,-0.411426246,0.217591435,0.200912694,0.340075442,0.943416472,2.836501268,1.434402824
YJR123W RPS5,0.104697379,0.089267338,0.168122759,-0.378511623,-0.411426246,-1.855989697,-2.480265122
YJR145C RPS7B,0.074000581,0.058893689,-0.250961574,-0.565597176,-0.422233001,-1.5360529,-2.613531653
YKL009W,-0.150559677,-0.443606651,-0.097610797,-0.790772038,-1.077242999,-2.039138394,-2.521050737
YKL026C,-0.189033824,-0.150559677,0.029146346,0.268816758,0.535331733,3.64385619,2.736965594
YBR116C,-0.163498732,0.184424571,0.043943348,-0.22650853,-0.422233001,1.785875195,2.395928676
YBR117C TKL2,0.358453971,0.64385619,0.689659879,0.043943348,-0.275007047,1.64385619,2.473931188
YKL081W TEF4,0.074000581,-0.150559677,-0.014355293,-0.925999419,-0.722466024,-2.15704371,-2.435628594
YKL085W MDH1,0.043943348,0.01449957,0.286304185,0.915935735,1.358453971,2.836501268,2.556393349
YKL103C LAP4,-0.070389328,0.377069649,0.473931188,0.888968688,1.321928095,2.395928676,1.689659879
YKL109W HAP4,0.234465254,0.577766999,1.029146346,0.666576266,0.621488377,2.556393349,3.184424571
YKL141W SDH3,0.358453971,0.168122759,0.64385619,0.785875195,1.152003093,1.943416472,2.64385619
YKL142W MRP8,-0.070389328,0.217591435,0.234465254,0.49410907,1.029146346,2.473931188,1.152003093
YKL151C,-0.124328135,0.234465254,0.577766999,0.621488377,0.251538767,2.556393349,1.785875195
YKL187C,0.043943348,0.074000581,0.200912694,-0.163498732,-0.40053793,2.120294234,3.321928095
YKL193C SDS22,-0.056583528,-0.124328135,-0.263034406,0.184424571,0.514573173,2.473931188,1.434402824
YKL217W JEN1,-0.485426827,-0.070389328,0.043943348,-0.333423734,0.120294234,3.473931188,3.836501268
YKR059W TIF1,0.217591435,0.074000581,0.473931188,-0.275007047,-0.50589093,-1.443606651,-2.3305584
YBR139W,0.120294234,0.514573173,0.434402824,1.089267338,0.888968688,2,2.395928676
YKR097W PCK1,-0.124328135,-0.176322773,0.434402824,-0.084064265,-0.250961574,0.415037499,3.836501268
YLL026w HSP104,0.01449957,0.01449957,-0.189033824,0.836501268,1,2.395928676,2.64385619
YBR147W,-0.097610797,0.340075442,-0.028569152,0.074000581,0.251538767,3.058893689,2.473931188
YLL041c SDH2,-0.056583528,-0.097610797,0.49410907,1.058893689,1.434402824,2.556393349,2.64385619
YLL044W,0.286304185,0.01449957,-0.163498732,-0.443606651,-0.713695815,-2.09085343,-2.533563348
YLL045c RPL4B,0.184424571,-0.176322773,-0.084064265,-0.111031312,-0.111031312,-1.948600847,-3.065227623
YLR048w NAB1B,0.321928095,0.234465254,0.454031631,-0.111031312,-0.344828497,-1.929790998,-2.587364991
YLR062C,0.184424571,-0.056583528,0.058893689,-0.35614381,-0.097610797,-1.910732662,-2.865918815
YLR076C,0.217591435,-0.042644337,0.089267338,0.074000581,-0.310340121,-1.495695163,-2.324810603
YLR129w DIP2,-0.344828497,-0.378511623,-0.286881148,-0.887525271,-0.86393845,-2.811471031,-2.09423607
YLR142w PUT1,-0.176322773,-0.464668267,-0.50589093,-0.263034406,-0.201633861,0.514573173,2.395928676
YLR149C,-0.263034406,-0.124328135,-0.189033824,0.59946207,0.286304185,2.473931188,2.736965594
YLR174W IDP2,-0.111031312,-0.286881148,0.713118852,0.120294234,-0.137503524,1.286304185,3.321928095
YLR178C TFS1,-0.22650853,-0.214124805,-0.056583528,0.76121314,1.251538767,2.64385619,1.785875195
YLR180W SAM1,0.184424571,0.268816758,0.217591435,-0.925999419,-1.070389328,-2.545968369,-3.063502942
YLR186W,0.074000581,-0.042644337,-0.298658316,-1,-0.687060688,-1.389566812,-2.422233001
YLR196W PWP1,0.251538767,0.089267338,0.268816758,-0.855989697,-0.925999419,-1.5360529,-2.782408565
YLR198C,0.304006187,0.01449957,0.454031631,-0.150559677,-0.22650853,-1.361768359,-2.477677328
YLR249W YEF3,0.058893689,0.029146346,0.120294234,-0.765534746,-0.056583528,-1.475084883,-2.761285273
YLR258W GSY2,0.104697379,0.434402824,0.454031631,1.888968688,2,3.321928095,2.556393349
YLR267W,-0.124328135,0.120294234,0.268816758,-0.111031312,-0.485426827,1.64385619,2.736965594
YLR270W,0.104697379,-0.028569152,0.217591435,0.621488377,0.377069649,3.058893689,1.514573173
YLR304C ACO1,0.200912694,0.556393349,0.49410907,1.029146346,1.217591435,1.943416472,2.64385619
YLR312C,-0.613531653,-0.659924558,0,0.184424571,-0.275007047,1.251538767,2.321928095
YBR181C RPS101,0.184424571,0.217591435,0.200912694,0.089267338,0.120294234,-1.584962501,-2.568032105
YLR325C,0.043943348,0.01449957,0.120294234,0.029146346,-0.298658316,-1.545968369,-2.59454855
YLR327C,-0.189033824,-0.333423734,0.089267338,0.915935735,1.089267338,3.321928095,2.64385619
YLR339C,0.321928095,0.473931188,0.304006187,-0.214124805,-0.669026766,-1.782408565,-2.558267634
YLR340W RPLA0,0.200912694,0.321928095,0.473931188,-0.084064265,-0.443606651,-1.807354922,-2.776103988
YBR183W,-0.367371066,-0.40053793,0.395928676,1.058893689,0.862496476,2.556393349,1.434402824
YLR344W RPL33A,-0.084064265,-0.176322773,-0.35614381,-0.704871964,-0.50589093,-1.565597176,-2.378511623
YLR355C ILV5,0.358453971,0.058893689,-0.454175893,-1.244887059,-1.220329955,-2.392317423,-2.13422094
YLR356W,-0.111031312,0.59946207,0.535331733,0.862496476,0.810966176,2.836501268,1.888968688
YLR377C FBP1,-0.22650853,-0.028569152,0.251538767,-0.163498732,-0.124328135,0.473931188,3.836501268
YBR189W SUP46,-0.028569152,-0.310340121,0.029146346,-0.275007047,-0.545968369,-1.97819563,-2.655351829
YLR413W,0.217591435,0.358453971,0.535331733,-0.650764559,-0.669026766,-2.403267722,-2.827819025
YBR191W URP1,0.074000581,-0.250961574,0.058893689,-0.23878686,-0.555816155,-1.735522177,-2.669026766
YLR448W YL16B,0.340075442,0.029146346,-0.214124805,-0.613531653,-0.704871964,-1.895302621,-2.327687364
YLR449W,-0.042644337,-0.028569152,0.13606155,-1.195347598,-0.970853654,-2.613531653,-2.207892852
YML054C CYB2,-0.575312331,-0.097610797,0.434402824,-0.111031312,-0.042644337,2.321928095,2.943416472
YML063W RP10B,0.217591435,0.217591435,0.395928676,0.01449957,-0.028569152,-1.580145484,-2.485426827
YML128C,-0.124328135,0.200912694,0.971430848,1.556393349,1.358453971,4.321928095,3.473931188
YMR090W,-0.176322773,0.089267338,0.577766999,0.321928095,0.971430848,2.321928095,1.029146346
YMR093W,0.074000581,0,-0.454175893,-1.275007047,-1.339137385,-1.851998837,-2.462052319
YMR105C PGM2,0.13606155,0.535331733,0.713118852,1.736965594,1.473931188,3.184424571,2.64385619
YMR107W,-0.411426246,-0.263034406,-0.201633861,-0.298658316,-0.111031312,2.321928095,2.321928095
YMR121C RPL13B,0.340075442,-0.042644337,0.340075442,0.321928095,-0.111031312,-1.361768359,-2.459431619
YMR131C,0.217591435,0.104697379,0.321928095,-0.411426246,-0.831877241,-1.333423734,-2.596935142
YMR170C ALD2,0.184424571,0.234465254,0.200912694,0.434402824,0.713118852,3.64385619,2.251538767
YMR191W,-0.014355293,0.152003093,0.59946207,0.514573173,0.377069649,1.836501268,2.321928095
YMR217W GUA1,0.152003093,0.120294234,0.184424571,-1.077242999,-1.275007047,-1.622930351,-2.731183242
YMR250W,-0.084064265,0.473931188,1.029146346,1.785875195,2.120294234,3.058893689,3.184424571
YMR290C,0.120294234,-0.22650853,-0.23878686,-1.15704371,-1.40599236,-2.671293372,-3
YNL002C RLP7,-0.097610797,-0.367371066,-0.250961574,-1.182692298,-0.871843649,-2.801158656,-2.389566812
YBR238C,0.152003093,0.943416472,0.377069649,-0.782408565,-0.97819563,-1.500802053,-2.339137385
YNL015W PBI2,-0.070389328,-0.321928095,0.514573173,0.810966176,0.915935735,3.058893689,2.251538767
YBR241C,-0.97819563,0.058893689,0.415037499,0.184424571,-0.189033824,2.473931188,1.556393349
YNL052W COX5A,-0.23878686,-0.23878686,-0.097610797,0.089267338,0.64385619,1.785875195,2.321928095
YNL065W,0,0.286304185,-0.214124805,-0.992768431,-0.214124805,-2.192194165,-2.397802962
YNL067W RPL9B,0.043943348,-0.367371066,-0.137503524,-0.389566812,-0.22650853,-0.722466024,-2.386810946
YNL069C RP23,-0.097610797,-0.042644337,0.304006187,-0.201633861,-0.084064265,-1.10433666,-2.746312766
YNL096C,0.120294234,-0.028569152,-0.321928095,-0.495695163,-0.40053793,-2.195347598,-2.790772038
YBR247C ENP1,-0.028569152,-0.214124805,-0.070389328,-1.176322773,-1.03562391,-1.207892852,-2.765534746
YNL117W MLS1,-0.310340121,-0.042644337,0.713118852,-0.298658316,-0.263034406,0.76121314,3.184424571
YNL119W,0.13606155,-0.028569152,0.304006187,-0.214124805,-0.201633861,-1.15704371,-2.797012978
YBR249C ARO4,0.152003093,0.043943348,0.13606155,-0.432959407,-0.59454855,-2.021479727,-2.361768359
YNL134C,0.13606155,0.089267338,0.074000581,0.104697379,0.268816758,2.321928095,2.058893689
YNL141W,-0.163498732,-0.042644337,-0.070389328,-1.257010618,-1.195347598,-2.815575429,-3.13093087
YNL160W YGP1,0.234465254,0.340075442,1.120294234,1.473931188,1.736965594,3.058893689,2.836501268
YNL173C,-0.070389328,-0.250961574,0.104697379,0.862496476,0.785875195,2.64385619,1.689659879
YNL174W,0.058893689,-0.214124805,0.01449957,-0.963474124,-0.879705766,-2.386810946,-1.189033824
YNL175C,0.200912694,-0.189033824,0.120294234,-0.650764559,-0.90303827,-1.700439718,-2.622930351
YNL194C,-0.286881148,0.029146346,0.13606155,-0.163498732,0.304006187,3.836501268,3.321928095
YNL195C,-0.321928095,-0.23878686,-0.111031312,-0.150559677,0.029146346,0.76121314,2.321928095
YNL200C,-0.22650853,-0.028569152,0.358453971,1.251538767,1.514573173,3.836501268,2.556393349
YNL274C,0.01449957,0.058893689,0.358453971,0.64385619,0.49410907,2.736965594,1.689659879
YNL301C RP28B,0.217591435,-0.124328135,0.251538767,-0.298658316,-0.545968369,-1.89917563,-2.482848283
YNL303W,-0.389566812,-0.748461233,-0.344828497,-0.613531653,-1.111031312,-2.56315813,-2.495695163
YNL305C,-0.124328135,0.104697379,0.49410907,0.13606155,0.888968688,2.395928676,1.120294234
YNR001C CIT1,0.184424571,0.454031631,0.64385619,0.713118852,1.217591435,2.64385619,3.184424571
YAL054C ACS1,-0.669026766,-0.189033824,0,-0.189033824,-0.298658316,1.473931188,3.64385619
YNR053C,0.200912694,0.415037499,0.286304185,-0.495695163,-0.59454855,-1.739848103,-2.3950628
YOL120C RP28A,0.268816758,-0.084064265,0.395928676,-0.163498732,-0.59454855,-1.807354922,-2.416839742
YOL032W,-0.070389328,-0.028569152,0.286304185,0.184424571,0.089267338,2.556393349,1.689659879
YOL039W RPLA2,0.074000581,-0.028569152,0.104697379,0,0,-0.163498732,-2.301587647
YOL040C RPS21,0.104697379,0.058893689,-0.137503524,-0.411426246,-0.555816155,-1.531069493,-2.655351829
YOL053C DDR2,-0.111031312,-0.163498732,0.089267338,0.888968688,0.915935735,2.556393349,1.785875195
YOL084W,-0.310340121,0.120294234,0.434402824,0,-0.070389328,1.321928095,2.64385619
YOR065W CYT1,0.168122759,0.104697379,0.321928095,0.286304185,0.943416472,1.689659879,2.395928676
YOR178C GAC1,-0.189033824,-0.070389328,0.473931188,0.268816758,0.13606155,2.321928095,2.058893689
YOR215C,0.074000581,0,0.377069649,0.785875195,0.943416472,3.473931188,2.836501268
YOR234C RPL37B,0.074000581,0.074000581,-0.124328135,-0.367371066,-0.485426827,-1.695993813,-2.301587647
YOR309C,0.200912694,0.029146346,0.234465254,-0.641546029,-0.378511623,-2.097610797,-2.963474124
YOR310C,0.152003093,-0.014355293,0.340075442,-0.604071324,-0.641546029,-1.819668183,-3.09592442
YCL025C,0,-0.028569152,0.434402824,0.043943348,0.64385619,0.666576266,2.473931188
YOR312C RPL18B,0.234465254,-0.014355293,0.251538767,-0.422233001,-0.454175893,-1.516015147,-2.531069493
YOR374W,0,0.49410907,0.340075442,1,1.321928095,2.473931188,2.473931188
YPL012W,0.089267338,-0.275007047,-0.150559677,-1.176322773,-1.584962501,-2.956056652,-3.075532631
YCL035C,0.029146346,0.321928095,0.535331733,0.666576266,0.268816758,2.556393349,1.514573173
YPL131W RPL1,0.058893689,0.089267338,0.152003093,-0.82374936,-0.22650853,-1.655351829,-2.533563348
YPL220W SSM1A,0.043943348,-0.014355293,0.395928676,-0.35614381,-0.042644337,-1.604071324,-2.767654798
YPL226W,0.043943348,0.074000581,-0.097610797,-0.839959587,-1.176322773,-1.887525271,-2.456806149
YPR137W,0.074000581,-0.176322773,-0.201633861,-0.887525271,-0.918386234,-1.695993813,-2.95419631
YPR149W NCE2,0.152003093,0.120294234,0.395928676,0.810966176,0.915935735,2.058893689,2.321928095
YPR184W GDE,-0.23878686,-0.084064265,-0.275007047,0.200912694,0.556393349,1.514573173,2.64385619
YDL215C GDH2,-0.070389328,0.043943348,0.043943348,-0.464668267,-0.056583528,0.304006187,2.321928095
YDR258C HSP78,-0.214124805,-0.084064265,-0.263034406,0.666576266,0.915935735,2.184424571,2.473931188
YCR010C,-0.485426827,-0.367371066,0.234465254,-0.367371066,-0.422233001,0.535331733,2.64385619
YCR021c HSP30,-0.790772038,0.01449957,1.888968688,1.556393349,0.862496476,3.64385619,3.321928095
YDL083C,0.104697379,-0.286881148,-0.189033824,-0.650764559,-0.799087306,-1.176322773,-2.40053793
YDL085w,-0.111031312,1,0.058893689,-0.124328135,-0.275007047,2.058893689,2.836501268
YDL136w,-0.070389328,-0.014355293,-0.042644337,-0.367371066,-0.214124805,-1.550900665,-2.56315813
YDL199c,-0.042644337,0.49410907,0.415037499,0.184424571,-0.344828497,1.736965594,2.321928095
YDL204w,-0.367371066,0.915935735,-0.50589093,0.268816758,0.089267338,4.058893689,3.058893689
YDL208W NHP2,0.043943348,-0.150559677,0.043943348,-0.575312331,-0.485426827,-2.14404637,-2.63691458
